Time/s	Absorbance (460 nm)
8687.5	0.00605
8697.7	0.00576
8708.6	0.0052
8719.3	0.00457
8729.7	0.00411
8739.7	0.00389
8750.3	0.00391
8761.3	0.0041
8772.5	0.00442
8784.7	0.00483
8796.7	0.00526
8807	0.00562
8817.3	0.00598
8827.6	0.00631
8838.3	0.00661
8848.5	0.00681
8858.7	0.00683
8869.5	0.00649
8880.5	0.00564
8890.6	0.00465
8900.6	0.0039
8911	0.00354
8921	0.00354
8931.8	0.00378
8942.1	0.00413
8953.3	0.00457
8964.3	0.00502
8975.7	0.00547
8986	0.00585
8996.1	0.00618
9006.8	0.00647
9017.1	0.00665
9027.7	0.00662
9038.7	0.00621
9048.9	0.00542
9059.5	0.0045
9069.9	0.00385
9080	0.0036
9090.9	0.00365
9101.7	0.00392
9111.7	0.00426
9122.3	0.00467
9133.5	0.00512
9144.1	0.00553
9155	0.00593
9165.4	0.00628
9176.2	0.0066
9186.5	0.0068
9196.8	0.00682
9207.8	0.00645
9218.6	0.00559
9229.5	0.00453
9240.2	0.0038
9250.5	0.00352
9260.7	0.00357
9270.9	0.00382
9281.6	0.0042
9293.9	0.00469
9305.1	0.00514
9315.7	0.00554
9326.8	0.00593
9337.7	0.00626
9348.6	0.00651
9358.9	0.00658
9369.5	0.00638
9380.3	0.00576
9390.9	0.00488
9401.2	0.00413
9411.6	0.00371
9422.3	0.00364
9432.4	0.0038
9443.8	0.00414
9454.8	0.00454
9465.6	0.00497
9475.6	0.00536
9486.7	0.00579
9496.8	0.00615
9507	0.00649
9517.6	0.00679
9527.9	0.00699
9538.7	0.00696
9549	0.00651
9559.6	0.00554
9569.7	0.00447
9579.7	0.00374
9590.1	0.00345
9600.5	0.00351
9611.2	0.00379
9621.8	0.00418
9633.9	0.00467
9645.3	0.00513
9656.3	0.00554
9666.8	0.00588
9677.7	0.00617
9688.1	0.00633
9698.9	0.00629
9709.1	0.00596
9720.1	0.00529
9730.9	0.00452
9741.5	0.00398
9751.8	0.00376
9762.8	0.00381
9773.5	0.00404
9784.5	0.00439
9796.5	0.00483
9807.8	0.00526
9818.8	0.00567
9829.6	0.00607
9840	0.00643
9850.5	0.00677
9860.7	0.00705
9871	0.00722
9881.3	0.00712
9891.7	0.00652
9901.8	0.00541
9912.4	0.00422
9922.7	0.00354
9932.8	0.00335
9943.6	0.0035
9954.7	0.00384
9966.1	0.00429
9977.4	0.00476
9989.1	0.00521
10000	0.00559
10011	0.00589
10023	0.00607
10034	0.00605
10045	0.00577
10056	0.00521
10066	0.00458
10077	0.00411
10087	0.0039
10098	0.00391
10109	0.00411
10120	0.00442
10132	0.00483
10144	0.00526
10154	0.00563
10165	0.00598
10175	0.00631
10186	0.0066
10196	0.0068
10207	0.00679
10218	0.00638
10229	0.0055
10239	0.00453
10249	0.00384
10259	0.00354
10270	0.00358
10280	0.00382
10291	0.00419
10303	0.00468
10314	0.00513
10324	0.00554
10335	0.00594
10346	0.00628
10356	0.00655
10366	0.00672
10377	0.00666
10387	0.00622
10398	0.00534
10408	0.00442
10418	0.0038
10429	0.00356
10440	0.00365
10451	0.00394
10462	0.00432
10473	0.00477
10484	0.00521
10495	0.00565
10505	0.00601
10516	0.00633
10526	0.00659
10536	0.00674
10547	0.00665
10557	0.00616
10568	0.00527
10578	0.00437
10588	0.00377
10599	0.00355
10609	0.00366
10620	0.00396
10631	0.00436
10643	0.00483
10654	0.00526
10665	0.00567
10676	0.00606
10686	0.00637
10696	0.00662
10706	0.00674
10716	0.0066
10727	0.00606
10737	0.00516
10747	0.00429
10757	0.00374
10768	0.00356
10778	0.00367
10789	0.00398
10800	0.00438
10813	0.00487
10823	0.00529
10834	0.00569
10845	0.00608
10856	0.00641
10866	0.00666
10877	0.00675
10887	0.00654
10897	0.00594
10908	0.00494
10919	0.00409
10930	0.00363
10940	0.00356
10950	0.00374
10961	0.00408
10972	0.00447
10982	0.00489
10992	0.0053
11003	0.0057
11014	0.00608
11025	0.00641
11035	0.00664
11045	0.00672
11056	0.00649
11066	0.00587
11076	0.00497
11087	0.00411
11097	0.00366
11107	0.00357
11118	0.00372
11128	0.00404
11140	0.00449
11151	0.00491
11161	0.00532
11171	0.00571
