Time/s	Absorbance (460 nm)
9420.6	0.0057
9431.5	0.00632
9442	0.0069
9453.1	0.00745
9463.6	0.00788
9474.1	0.00817
9484.2	0.00823
9495.5	0.00787
9506.5	0.00701
9517.1	0.00602
9527.5	0.00535
9537.6	0.00512
9547.8	0.00524
9557.8	0.00558
9568.7	0.00609
9579.5	0.00664
9590.8	0.00723
9601.8	0.00777
9611.8	0.00824
9621.9	0.00867
9631.9	0.00901
9642.2	0.00915
9652.3	0.00884
9662.4	0.00782
9673.1	0.00625
9683.7	0.00509
9694.4	0.00469
9704.6	0.00482
9714.7	0.00524
9724.9	0.00578
9736.5	0.00644
9746.7	0.00699
9757.2	0.0075
9767.5	0.00791
9777.9	0.00819
9788.2	0.00822
9799.7	0.00779
9810.3	0.00692
9820.8	0.00596
9831.1	0.00532
9841.2	0.00511
9851.5	0.00526
9861.9	0.00563
9873.5	0.00618
9884.5	0.00675
9895	0.00729
9905.5	0.00782
9916.2	0.00832
9926.9	0.00876
9937.6	0.00908
9948.5	0.00911
9959.3	0.00851
9970.1	0.00711
9980.5	0.00567
9990.7	0.00485
10001	0.00469
10011	0.00494
10021	0.00542
10031	0.00598
10042	0.00656
10053	0.00718
10064	0.00767
10075	0.00805
10085	0.00824
10095	0.00812
10107	0.0075
10117	0.00652
10128	0.00562
10138	0.00518
10149	0.00515
10159	0.0054
10169	0.00584
10181	0.00643
10192	0.00698
10202	0.0075
10212	0.00801
10222	0.00846
10233	0.00886
10243	0.00913
10254	0.00903
10265	0.00822
10275	0.00677
10285	0.00544
10296	0.00478
10306	0.00471
10317	0.00506
10328	0.00564
10338	0.00623
10349	0.00682
10359	0.00733
10370	0.00781
10381	0.00813
10392	0.00824
10403	0.00792
10413	0.00719
10424	0.00616
10435	0.00542
10445	0.00513
10456	0.00522
10467	0.0056
10478	0.00613
10489	0.00669
10500	0.00726
10511	0.00779
10522	0.0083
10532	0.00874
10543	0.00907
10554	0.00912
10565	0.00855
10575	0.00729
10585	0.0058
10595	0.0049
10605	0.00468
10616	0.00493
10626	0.00539
10638	0.00606
10649	0.00665
10660	0.00723
10670	0.0077
10681	0.00807
10692	0.00824
10702	0.00809
10713	0.00743
10724	0.00646
10734	0.00559
10745	0.00517
10755	0.00515
10765	0.00543
10776	0.00589
10789	0.00651
10799	0.00704
10810	0.00761
10821	0.00812
10831	0.00858
10841	0.00895
10851	0.00915
10862	0.00896
10872	0.00804
10882	0.00658
10892	0.00533
10902	0.00474
10913	0.00474
10923	0.00508
10933	0.0056
10946	0.00631
10956	0.00689
10967	0.00744
10978	0.00788
10988	0.00817
10998	0.00823
11010	0.00787
11021	0.00701
11031	0.00603
11042	0.00535
11052	0.00512
11062	0.00524
11072	0.00558
11083	0.00608
11094	0.00663
11105	0.00722
11116	0.00777
11126	0.00824
11136	0.00867
11146	0.00901
11156	0.00915
11167	0.00885
11177	0.00783
11187	0.00626
11198	0.0051
11209	0.00469
11219	0.00482
11229	0.00523
11239	0.00577
11251	0.00643
11261	0.00698
11271	0.0075
11282	0.00791
11292	0.00819
11302	0.00822
11314	0.0078
11325	0.00693
11335	0.00596
11345	0.00532
11355	0.00512
11366	0.00526
11376	0.00563
11388	0.00617
11399	0.00674
11409	0.00729
11420	0.00781
11430	0.00831
11441	0.00875
11452	0.00908
11463	0.00911
11474	0.00852
11484	0.00712
11495	0.00567
11505	0.00486
11515	0.00469
11525	0.00494
11535	0.00541
11545	0.00597
11556	0.00655
11567	0.00717
11578	0.00766
11589	0.00805
11600	0.00824
11610	0.00813
11621	0.0075
11632	0.00653
11642	0.00562
11653	0.00518
11663	0.00514
11673	0.0054
11684	0.00584
11695	0.00642
11706	0.00697
11716	0.0075
11727	0.008
11737	0.00845
11747	0.00886
11758	0.00913
11768	0.00903
11779	0.00823
11790	0.00678
11800	0.00545
11810	0.00478
11820	0.00471
11831	0.00505
11842	0.00564
11853	0.00621
11863	0.00681
11873	0.00732
11884	0.0078
11895	0.00813
11906	0.00824
11917	0.00793
11927	0.0072
11938	0.00617
11949	0.00542
11959	0.00513
11970	0.00522
11981	0.0056
11992	0.00612
12003	0.00668
12014	0.00725
12025	0.00779
12036	0.0083
12047	0.00874
12057	0.00907
12068	0.00912
12079	0.00856
12089	0.0073
12099	0.00581
12110	0.0049
12120	0.00468
12131	0.00492
12142	0.00545
12152	0.00605
12163	0.00663
12174	0.00722
12185	0.00769
12195	0.00807
12206	0.00824
12216	0.0081
12227	0.00744
12238	0.00647
12249	0.00559
12259	0.00517
12269	0.00515
12280	0.00542
12290	0.00589
12303	0.0065
12313	0.00703
12324	0.0076
12335	0.00812
12345	0.00858
12355	0.00895
12366	0.00915
12376	0.00896
12386	0.00805
12397	0.00659
12407	0.00533
12417	0.00475
12427	0.00474
12437	0.00508
12447	0.0056
12460	0.0063
12470	0.00688
12482	0.00744
12492	0.00787
12503	0.00817
12514	0.00822
12526	0.00778
12536	0.00691
12547	0.00595
12557	0.00531
12567	0.00511
12577	0.00526
12588	0.00564
12599	0.00619
12610	0.00676
12621	0.0073
12631	0.00782
12642	0.00832
12653	0.00876
12663	0.00908
12674	0.00911
12685	0.00851
12696	0.00711
12706	0.00566
12717	0.00485
12727	0.00469
12737	0.00494
12747	0.00542
12757	0.00599
12767	0.00657
12779	0.00718
12790	0.00767
12801	0.00805
12811	0.00824
12821	0.00812
12833	0.00749
12843	0.00652
12854	0.00562
12864	0.00518
12875	0.00515
12885	0.0054
12895	0.00585
12907	0.00644
12918	0.00698
12928	0.00751
12938	0.00801
12948	0.00846
12959	0.00886
12969	0.00913
12980	0.00903
12991	0.00821
13001	0.00676
13011	0.00544
13021	0.00478
13032	0.00471
13042	0.00506
13054	0.00565
13064	0.00623
13075	0.00682
13085	0.00733
13096	0.00781
13107	0.00814
13118	0.00824
13129	0.00792
13139	0.00718
13150	0.00616
13160	0.00542
13171	0.00513
13182	0.00522
13193	0.00561
13204	0.00614
13215	0.0067
13226	0.00726
13237	0.0078
13247	0.0083
13258	0.00874
13269	0.00907
13280	0.00912
13290	0.00855
13301	0.00728
13311	0.00579
13321	0.0049
13331	0.00468
13342	0.00493
13352	0.00539
13364	0.00606
13375	0.00665
13386	0.00723
13396	0.0077
13407	0.00807
13418	0.00824
13428	0.00809
13439	0.00743
13450	0.00646
13460	0.00558
13470	0.00517
13481	0.00516
13491	0.00543
13502	0.0059
13514	0.00652
13525	0.00705
13536	0.00761
13546	0.00812
